9,9,9
P-1,U1,107,121,54,206,176,107
P-2,U4,0,95,0,99,151,81
P-3,U4,158,255,88,209,297,189
P-4,U3,188,60,0,244,135,108
P-5,U2,159,151,95,217,239,159
P-6,U4,0,185,0,91,241,84
P-9,U5,97,0,88,170,71,176
P-10,U4,51,185,84,136,255,172
P-15,U4,91,185,0,151,234,84
P-16,U1,0,260,63,93,308,126
P-17,U1,109,260,0,192,317,63
P-20,U4,0,255,0,106,311,88
P-23,U5,0,188,0,51,238,110
P-25,U6,0,0,44,77,53,88
P-26,U4,79,185,172,152,241,241
P-27,U4,192,0,87,241,93,149
P-28,U3,177,148,148,241,229,243
P-29,U6,0,265,220,86,318,282
P-32,U6,89,0,88,187,70,132
P-33,U4,0,95,165,89,185,238
P-36,U3,147,240,79,233,318,159
P-37,U3,191,229,0,242,305,59
P-40,U6,0,0,220,90,70,265
P-41,U3,73,0,67,177,90,135
P-42,U1,0,260,0,109,301,62
P-45,U3,92,240,159,183,312,240
P-46,U2,0,0,0,94,71,62
P-49,U3,85,97,68,185,137,137
P-50,U2,0,91,0,104,164,64
P-53,U4,0,255,189,106,308,233
P-57,U4,158,185,172,241,249,231
P-58,U5,172,0,88,227,95,190
P-61,U5,187,164,110,244,273,205
P-65,U6,92,98,142,202,176,192
P-68,U3,0,240,159,92,286,240
P-69,U4,96,95,81,150,142,165
P-71,U1,0,0,43,99,60,86
P-72,U6,0,0,88,89,83,132
P-73,U2,0,0,63,104,86,126
P-75,U3,200,0,108,243,85,182
P-76,U3,0,0,203,92,96,243
P-78,U6,202,85,92,244,189,166
P-80,U5,0,274,0,85,317,44
P-82,U2,70,245,66,167,316,132
P-85,U5,104,274,211,151,318,279
P-86,U1,93,260,63,158,301,126
P-87,U6,0,189,108,107,242,162
P-90,U6,0,0,176,102,98,220
P-91,U6,0,98,142,92,189,192
P-92,U1,158,184,0,223,242,58
P-93,U5,172,0,190,240,92,278
P-94,U2,0,245,0,98,312,66
P-97,U6,0,265,0,93,318,53
P-102,U5,0,80,206,106,150,270
P-103,U1,98,0,86,200,78,130
P-105,U4,0,0,80,103,95,160
P-106,U1,104,79,108,196,169,162
P-108,U6,0,98,92,109,168,139
P-109,U1,0,0,86,98,79,130
P-112,U2,104,0,63,183,67,126
P-117,U2,94,187,65,146,236,130
P-123,U5,56,274,147,99,314,209
P-124,U1,0,79,108,104,151,162
P-125,U3,0,0,135,91,85,203
P-126,U2,98,91,64,183,151,128
P-129,U5,95,188,110,180,247,220
P-130,U5,0,274,44,78,314,89
P-133,U2,94,0,0,203,91,63
P-134,U5,0,0,88,97,80,176
P-135,U6,0,98,45,108,164,90
P-136,U2,98,245,0,200,292,66
P-139,U4,0,95,81,96,170,165
P-142,U3,0,157,148,92,240,222
P-145,U3,0,240,0,106,315,79
P-146,U6,0,98,0,100,154,45
P-147,U2,0,187,0,55,233,65
P-148,U3,100,0,0,200,49,67
