9,9,9
P-1,U1,171,153,106,224,252,161
P-2,U4,136,0,0,192,81,99
P-3,U4,0,0,0,42,101,51
P-5,U1,71,71,96,159,129,160
P-6,U4,95,0,109,151,84,200
P-9,U4,68,172,0,139,260,73
P-10,U4,152,84,0,222,172,85
P-12,U3,195,119,93,243,207,173
P-15,U5,105,222,197,154,306,257
P-16,U6,0,107,109,48,170,202
P-17,U6,48,107,109,105,170,192
P-19,U5,0,0,211,51,87,280
P-20,U4,0,84,88,56,172,194
P-23,U4,42,0,0,92,110,51
P-25,U1,118,132,0,171,176,77
P-26,U1,98,132,89,154,201,162
P-27,U3,176,119,0,225,181,93
P-28,U5,145,0,191,240,64,272
P-29,U3,63,119,104,116,181,190
P-32,U1,82,0,0,152,44,98
P-33,U5,53,68,209,143,157,282
P-36,U5,146,142,99,224,222,185
P-37,U3,90,0,0,141,59,76
P-40,U1,126,264,0,196,309,90
P-41,U5,56,68,0,146,136,104
P-42,U6,129,107,0,170,169,109
P-45,U5,149,222,89,221,303,180
P-46,U6,170,107,0,241,169,94
P-49,U5,50,68,109,90,137,209
P-50,U6,156,170,104,229,234,208
P-53,U1,152,0,0,205,44,106
P-54,U3,0,0,106,51,59,212
P-57,U3,0,59,110,64,118,193
P-58,U6,129,107,218,231,202,273
P-59,U3,0,59,194,85,138,243
P-63,U5,154,67,214,239,142,283
P-65,U2,55,94,0,133,144,110
P-68,U4,90,0,0,136,81,92
P-69,U5,58,222,197,105,306,251
P-71,U6,172,0,0,232,43,99
P-72,U1,0,44,0,83,88,89
P-73,U6,67,170,0,153,233,104
P-75,U2,148,198,76,222,241,161
P-76,U3,141,119,203,237,211,243
P-78,U6,199,234,52,241,308,156
P-80,U1,79,176,0,122,220,85
P-82,U6,67,234,104,138,300,201
P-85,U2,70,100,110,138,144,157
P-86,U6,196,107,109,237,170,174
P-87,U2,143,144,0,196,198,107
P-88,U3,0,181,97,70,243,203
P-90,U1,0,220,0,98,264,102
P-91,U2,0,144,0,91,194,92
P-92,U1,159,88,77,217,153,135
P-93,U6,113,0,206,205,88,274
P-94,U6,0,234,104,67,300,202
P-97,U4,184,103,175,237,196,228
P-98,U3,65,243,103,159,306,211
P-99,U5,154,142,185,224,210,256
P-102,U6,47,0,215,111,106,285
P-103,U6,0,0,99,78,44,201
P-105,U5,0,222,89,95,302,192
P-106,U6,92,49,108,182,103,200
P-108,U2,0,47,0,70,94,109
P-109,U6,78,0,99,157,44,197
P-111,U3,70,181,97,135,243,200
P-112,U6,0,170,0,67,233,79
P-117,U6,194,234,0,243,299,52
P-120,U6,0,186,202,91,234,276
P-123,U2,81,252,104,121,314,147
P-124,U6,147,49,0,219,103,104
P-125,U5,0,0,102,85,68,193
P-126,U6,0,170,104,60,234,189
P-129,U4,92,0,0,151,110,85
P-130,U2,66,0,0,106,45,78
P-131,U6,0,107,202,80,186,284
P-133,U6,105,107,109,196,170,218
P-134,U4,0,172,87,80,260,184
P-135,U2,0,0,0,66,45,108
P-136,U5,0,0,0,47,66,102
P-137,U3,0,59,0,96,118,110
P-139,U4,151,0,109,226,84,205
P-142,U5,0,142,0,83,216,92
P-144,U3,141,0,0,213,59,106
P-145,U5,71,142,99,146,221,205
P-146,U1,70,264,0,126,309,100
P-147,U6,148,234,0,194,299,55
P-148,U5,144,0,0,193,67,100
P-150,U6,105,49,0,147,103,58
P-151,U1,0,176,0,79,220,106
P-152,U6,80,106,218,129,173,275
P-153,U3,78,181,0,129,243,64
P-156,U2,70,47,0,143,94,110
P-157,U4,98,84,0,152,172,88
P-159,U2,91,144,0,143,194,92
P-161,U3,0,181,0,78,243,97
P-162,U6,44,234,0,90,299,104
P-163,U6,157,0,99,240,49,182
P-164,U3,0,138,203,102,225,243
P-165,U4,151,0,0,244,103,96
P-166,U3,0,243,0,84,305,103
P-167,U3,85,0,196,135,100,243
P-168,U4,0,172,0,68,260,87
P-169,U2,121,0,110,215,87,158
P-170,U4,93,103,198,174,203,242
P-171,U2,0,94,0,55,144,93
P-172,U2,143,94,107,219,165,158
P-176,U3,84,243,0,144,305,102
P-179,U3,0,119,104,63,181,177
P-180,U5,170,222,0,229,302,71
P-181,U6,182,49,108,239,107,206
P-182,U1,0,264,0,70,309,78
P-183,U4,151,103,0,208,208,72
P-185,U2,50,0,110,117,100,152
P-186,U4,0,110,197,93,194,244
